identifier,name,candidate_url,state,electoral_district_type,electoral_district_name
AK00004,Don Young ,http://alaskansfordonyoung.com ,AK,state,ak
AK00009,Click Bishop ,http://www.clickbishop.com ,AK,state_senate_district,C
AK00010,Anne Sudkamp ,www.annesudkamp.com ,AK,state_senate_district,C
AK00013,"Charles R. ""Charlie"" Huggins ",www.charliehuggins.com ,AK,state_senate_district,E
AK00017,Bill Wielechowski ,www.wielechowski.org ,AK,state_senate_district,G
AK00023,Hollis S. French II ,www.Frenchforstatesenate.com ,AK,state_senate_district,J
AK00031,"Catherine A. ""Cathy"" Giessel ",www.CathyGiessel.com ,AK,state_senate_district,N
AK00034,Bert K. Stedman ,www.stedmanforsenate.com ,AK,state_senate_district,Q
AK00050,Eric A. Feige ,www.feige4house.org ,AK,state_rep_district,006
AK00051,Wes Keller ,www.weskeller.com ,AK,state_rep_district,007
AK00052,Shelley Hughes ,www.alaskansforhughes.com ,AK,state_rep_district,008
AK00053,Lynn Gattis ,www.LynnGattis.com ,AK,state_rep_district,009
AK00059,Gabrielle LeDoux ,www.voteledoux.com ,AK,state_rep_district,013
AK00069,Geran Tarr ,www.tarrforstatehouse.com ,AK,state_rep_district,017
AK00072,Anand Dubey ,www.ananddubey.com ,AK,state_rep_district,019
AK00074,Mia Costello ,http://www.votemia.com ,AK,state_rep_district,020
AK00075,Michelle Scannell ,www.votescannell.com ,AK,state_rep_district,020
AK00081,Lupe Marroquin ,www.votelupe.com ,AK,state_rep_district,023
AK00082,Patti Higgins ,www.pattihiggins.com ,AK,state_rep_district,024
AK00083,Charisse E. Millett ,www.votemillett.com ,AK,state_rep_district,024
AK00087,Lora Reinbold ,http://www.reinboldforalaska.com ,AK,state_rep_district,026
AK00092,Paul Seaton ,http://www.votepaulseaton.com,AK,state_rep_district,030
CO00018,Brandon Shaffer,www.shafferforcolorado.com,CO,congressional_district,004
CO00039,Stephen C. Ludwig,www.voteregentludgwig.com,CO,state,co
CO00104,Jeanne Labuda,www.jeannelabuda.com,CO,state_rep_district,001
CO00115,Ronnie Nelson,www.ronnienelsonforcolorado.com,CO,state_rep_district,005
CO00117,Victor Forsythe Villacres,www.BirthOfAnAngel.com,CO,state_rep_district,005
CO00141,Mark Waller,www.markwallerforHD15.org,CO,state_rep_district,015
CO00147,"Thomas ""Tony"" Exum Sr.",www.tonyexum.com,CO,state_rep_district,017
CO00222,Gary R. Semro,www.garysemro.com,CO,state_rep_district,043
CO00236,Dave Young,www.repdaveyoung.com,CO,state_rep_district,050
CO00307,Bill James,www.billjames4rtd.com,CO,,co regional transportation district a
1,Thomas R. Carper,WWW.CARPERFORDELAWARE.COM ,DE,state,de
6,Kevin Wade,WWW.WADEFORUSSENATE.COM ,DE,state,de
12,Andrew Richard Groff,WWW.ANDREWGROFFFORSENATE.US ,DE,state,de
30,Thomas H. Kovach,WWW.KOVACHFORCONGRESS.ORG ,DE,state,de
36,Bernard August,WWW.BERNIEAUGUSTFORUSCONGRESS.US ,DE,state,de
42,Scott Gesty,WWW.GESTY4CONGRESS.ORG ,DE,state,de
50,Jeffrey E. Cragg,WWW.CRAGG2012.COM ,DE,state,de
56,Mark Joseph Perri,WWW.PERRIDEGOV.US ,DE,state,de
65,Matthew Denn,WWW.MATTDENN.COM ,DE,state,de
71,Cheryl Anne Valenzuela,WWW.SHER2012.COM ,DE,state,de
83,Benjamin Mobley,WWW.BENJAMINMOBLEY.COM ,DE,state,de
89,David Eisenhour,WWW.SUSSEXLP.ORG ,DE,state,de
117,Michael S. Katz,WWW.SENATORKATZ.COM ,DE,state_senate_district,004
123,Gregory F. Lavelle,WWW.GREGLAVELLE.COM ,DE,state_senate_district,004
134,Christopher R. Counihan,WWW.ELECTCHRISCOUNIHAN.COM ,DE,state_senate_district,005
153,Ernesto B. Lopez,LOPEZFORDE.COM ,DE,state_senate_district,006
162,Gwendolyn M. Jones,WWW.SUSSEXLP.ORG ,DE,state_senate_district,006
171,Patricia M. Blevins,WWW.SENATORBLEVINS.COM ,DE,state_senate_district,007
183,David P. Sokola,WWW.SENATORDAVE.ORG ,DE,state_senate_district,008
189,William Stritzinger,BILLFORDELAWARE.COM ,DE,state_senate_district,008
205,Bryan Townsend,WWW.BRYAN2012.COM ,DE,state_senate_district,011
211,Evan Queitsch,WWW.EVANQFORDE.COM ,DE,state_senate_district,011
217,Nicole Poore,WWW.NICOLEPOORE.COM ,DE,state_senate_district,012
251,Dave Lawson,WWW.FRIENDSFORDAVELAWSON.COM ,DE,state_senate_district,015
268,Brian J. Bushweller,BUSHWELLERSENATE.COM ,DE,state_senate_district,017
284,Eric R. Bodenweiser,WWW.ERICBODIE.COM ,DE,state_senate_district,019
293,Richard W. Eakle,EAKLE-DE20THSENATESEAT.ORG ,DE,state_senate_district,020
299,Gerald W. Hocker,GERALDHOCKER.COM ,DE,state_senate_district,020
321,John F. Potter,WWW.SUSSEXLP.ORG ,DE,state_senate_district,021
326,Charles Potter Jr.,WWW.CHARLESPOTTERJR.COM ,DE,state_rep_district,001
332,Stephanie T. Bolden,WWW.STBOLDEN.ORG ,DE,state_rep_district,002
343,Gerald L. Brady,WWW.PEOPLEFORBRADY.COM ,DE,state_rep_district,004
354,Debra Heffernan,WWW.DEBRAHEFFERNAN.COM ,DE,state_rep_district,006
374,S. Quinton Johnson,WWW.QUINNJOHNSON.ORG ,DE,state_rep_district,008
385,Rebecca Walker,WWW.VOTEREBECCAWALKER.COM ,DE,state_rep_district,009
390,Dennis E. Williams,WWW.DELAWAREFIRST.NET ,DE,state_rep_district,010
396,Robert M. Rhodunda,WWW.BOBRHODUNDA.COM ,DE,state_rep_district,010
407,Jeffrey N. Spiegelman,WWW.JEFF4REPRESENTATIVE.COM ,DE,state_rep_district,011
416,Deborah D. Hudson,WWW.REPDEBORAHHUDSON.COM ,DE,state_rep_district,012
435,Margaret V. Melson,WWW.SUSSEXLP.ORG ,DE,state_rep_district,014
457,John Machurek,WWW.MACHUREK.COM ,DE,state_rep_district,016
472,Michael Barbieri,WWW.MIKEBARBIERI.NET ,DE,state_rep_district,018
499,Michael Ramone,WWW.FACEBOOK.COM/REPMICHAELRAMONE ,DE,state_rep_district,021
505,David E. Ellis,WWW.DAVE4DE.COM ,DE,state_rep_district,022
516,Paul S. Baumbach,WWW.PAULBAUMBACH.COM ,DE,state_rep_district,023
522,Mark R. Doughty,WWW.ELECTMARKDOUGHTY.COM ,DE,state_rep_district,023
542,Earl Jaques,WWW.EARLJAQUES.COM ,DE,state_rep_district,027
550,Christopher Sylvester,SYLVESTERFORSTATEREPRESENTATIVE.COM ,DE,state_rep_district,028
556,W. Charles Paradee,WWW.ELECTPARADEE.COM ,DE,state_rep_district,029
562,Lincoln D. Willis,ELECTLINCOLNWILLIS.COM ,DE,state_rep_district,029
574,Darryl M. Scott,WWW.DARRYLSCOTT.ORG ,DE,state_rep_district,031
580,Samuel Chick,WWW.SAMCHICK.ORG ,DE,state_rep_district,031
625,Ronnie L. Fitzgerald Jr.,WWW.SUSSEXLP.ORG ,DE,state_rep_district,035
644,Ruth Briggs King,MEETRUTH.COM ,DE,state_rep_district,037
663,Daniel B. Short,WWW.DANNYSHORT.COM ,DE,state_rep_district,039
674,Timothy D. Dukes,TIMDUKES.ORG ,DE,state_rep_district,040
703,Mark Blake,WWW.BLAKE4COUNTYEXEC.COM ,DE,county,new castle
709,Christopher A. Bullock,WWW.CHRISBULLOCK2012.COM ,DE,county,new castle
733,Timothy P. Sheldon,WWW.PEOPLEFORSHELDON.COM ,DE,county_council,new castle_09
739,Scot T. Sauer,WWW.SCOTSAUER.COM ,DE,county_council,new castle_09
758,Dennis P. Williams,WWW.WILLIAMS4WILMINGTON.COM ,DE,,wilmington (muni)
773,Nnamdi O. Chukwuocha,WWW.NNAMDI4COUNCIL.COM ,DE,,wilmington (muni) - city council district 1
784,Darius Brown,WWW.DARIUSBROWN.COM ,DE,,wilmington (muni) - city council district 3
808,Robert A. Williams,WWW.FACEBOOK.COM/WILLIAMS4COUNCIL.COM ,DE,,wilmington (muni) - city council district 7
827,Justen Wright,WWW.JUSTENWRIGHT.ORG ,DE,,wilmington (muni)
864,George Sweeney Sr.,WWW.FRIENDSFORJODYSWEENEY.COM ,DE,county_council,kent_03
885,Patrick J. Boyle,WWW.BOYLEFORCOMPTROLLER.COM ,DE,county,kent
916,Gary M. Wolfe,FACEBOOK.COM/FRIENDSFORGARYWOLFE ,DE,county_council,sussex_02
931,Joan R. Deaver,JOANDEAVER.COM ,DE,county_council,sussex_03
937,Donald R. Ayotte,WWW.AYOTTEFORCOUNCIL.COM ,DE,county_council,sussex_03
IL00009,Hector Concepcion,http://www.concepcionforcongress.com/,IL,congressional_district,004
IL00018,Tammy Duckworth,http://www.tammyduckworth.com/,IL,congressional_district,008
IL00030,Paula Bradshaw,http://bradshaw4congress.org/,IL,congressional_district,012
IL00037,John M. Shimkus, www.volunteersforshimkus.org ,IL,congressional_district,015
IL00065,"Jacqueline ""Jacqui"" Collins",http://www.jacquelinecollins.org/,IL,state_senate_district,016
IL00097,Doug Marks,DOUGMARKS2012.WEBS.COM,IL,state_senate_district,033
IL00114,"Arthur ""Aj"" Wilhelmi",www.ajwilhelmi.com,IL,state_senate_district,043
IL00117,Tim Bivins,http://timbivins.com/,IL,state_senate_district,045
IL00131,John Christian Bambenek,www.johnbambenek.com,IL,state_senate_district,052
IL00135,Dale A. Righter,Site does not load ; www.dalerighter.com/,IL,state_senate_district,055
IL00141,David Luechtefeld,http://www.davidluechtefeld.com/,IL,state_senate_district,058
IL00159,Sara Feigenholtz,http://sarafeigenholtz.com/,IL,state_rep_district,012
IL00193,Steven Williams,www.stevenwilliams.org,IL,state_rep_district,035
IL00225,Susan Sweeney,http://www.susansweeney.net/,IL,state_rep_district,055
IL00238,Sandy Cole,WWW.SANDYCOLE.NET,IL,state_rep_district,062
IL00267,Jim Durkin,http://www.jimdurkin.com/,IL,state_rep_district,082
