uid,non_webpage_list
AK00010,"[[u'http://www.facebook.com/anne.sudkamp', u'http://www.arctichost.net/ICASS_VI/images/11.02.08.pdf', u'http://www.etsy.com/people/Sudkampdesign', u'http://newsminer.com/view/full_story/19850614/article-Senate-District-C---Anne-Sudkamp-?instance=election_news_column', u'http://m.frontiersman.com/news/valley-has-hopeful-for-senate-seat-c/article_c0b79ad4-b449-11e1-ba0b-0019bb2963f4.html', u'http://www.linkedin.com/pub/anne-sudkamp/4a/449/19b', u'http://www.alaska.edu/epscor/2009-10-EPSCoR-integrative-faculty-devel..pdf', u'http://www.consortiumlibrary.org/archives/FindingAids/hmc-0215.html', u'http://www.alaskademocrats.org/candidates'], [u'http://www.facebook.com/anne.sudkamp', u'http://m.frontiersman.com/news/valley-has-hopeful-for-senate-seat-c/article_c0b79ad4-b449-11e1-ba0b-0019bb2963f4.html', u'http://newsminer.com/view/full_story/19850614/article-Senate-District-C---Anne-Sudkamp-?instance=election_news_column', u'http://www.alaskadispatch.com/article/alaska-senate-races-under-way-campaign-war-chests-fill', u'http://newsminer.com/pages/full_story/push?blog-entry-Facebook+lends+insight+to+Republican+race+for+Senate+Seat+C%20&id=19922571', u'http://www.alaskademocrats.org/candidates', u'http://www.webcenter11.com/?q=content/election-results', u'https://aws.state.ak.us/ApocReports/Registration/CandidateRegistration/CRForms.aspx', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/August-Issue-4-2012/Risks-vs-rewards-in-campaign-against-coalition-over-taxes/', u'http://www.acoa.us/legislature.html'], [u'http://newsminer.com/pages/full_story/push?blog-entry-Republican+primary+for+Senate+District+C+is+state-s+most+expensive+in+30-day+reports%20&id=19640948&instance=blogs_editors_desk', u'http://newsminer.com/pages/full_story/push?blog-entry-UAF+student+government+to+host+Senate+District+C-+House+District+5+forum%20&id=20294679&instance=blogs_editors_desk'], [u'http://www.alaskademocrats.org/candidates', u'http://interiordemocrats.org/candidates-2/', u'http://www.illinoisprosperity.org/candidateguide_survey.asp?g=illinois&st=2&action=all+candidates&submit=Find', u'http://www.k-state.edu/career/Alaska/Hazelrigg.ppt', u'http://www.nrapvf.org/grades-endorsements/2012/alaska.aspx', u'http://www.newsminer.com/pages/full_story/push?blog-entry-Analysis-+financial+reports+shed+light+on+campaign+activities%20&id=19643246&instance=blogs_editors_desk', u'http://davideastman.org/author/david/', u'http://newsminer.com/view/full_story/19659437/article-Click-Bishop-garners-union-support-in-District-C-GOP-primary?instance=home_news_window_left_top_3', u'http://www.docstoc.com/docs/83735296/Free-Entertainment-Proposal-Samples', u'http://whatdoino-steve.blogspot.com/2012_09_01_archive.html']]"
AK00002,"[[u'http://www.tedandfran.com/', u'http://www.adn.com/2010/10/15/1503791/2010-senate-candidate-ted-gianoutsos.html', u'http://www.youtube.com/user/newanwrted', u'http://www.linkedin.com/pub/ted-gianoutsos/46/12/47a', u'http://www.opencongress.org/wiki/Ted_Gianoutsos', u'http://blog.tedandfran.com/2012/06/02/my-good-for-america-alaska-and-wildlife-campaign-offer.aspx', u'http://www.catholicanchor.org/wordpress/archives/1582', u'http://www.sourcewatch.org/index.php/Portal:Alaska_and_the_U.S._Congress', u'http://www.writeindependent.org/house-candidate-alaska-district-at-large-district.html'], [u'http://www.tedandfran.com/', u'http://blog.tedandfran.com/2012/06/02/my-good-for-america-alaska-and-wildlife-campaign-offer.aspx', u'http://www.sourcewatch.org/index.php/Ted_Gianoutsos', u'http://www.youtube.com/user/newanwrted', u'http://elections.nytimes.com/2008/results/states/alaska.html', u'http://www.adn.com/2010/10/15/1503791/2010-senate-candidate-ted-gianoutsos.html', u'http://www.linkedin.com/pub/ted-gianoutsos/46/12/47a', u'http://www.politics1.com/ak.htm', u'http://www.writeindependent.org/house-candidate-alaska-district-at-large-district.html'], [u'http://www.tedandfran.com/'], [u'http://www.politics1.com/ak.htm', u'http://www.linkedin.com/in/christopherboron', u'http://vote-usa.org/election.aspx?election=u220081104ga', u'http://www.linkedin.com/pub/andrew-nadler/55/b17/b61', u'http://vote-usa.org/election.aspx?election=u220101102ga', u'http://www.swingstateproject.com/diary/7795/aksen-miller-leads-but', u'http://publicpolicypolling.blogspot.com/2010/10/miller-leads-in-alaska.html', u'http://www.channelregister.co.uk/2006/10/27/us_election_hack_attacks/', u'http://www.veteranscampaign.org/research/veteran-candidates-for-federal-office/', u'http://www.mediaite.com/online/kentucky-democratic-party-using-head-stomping-footage-in-anti-rand-paul-ad/']]"
AK00013,"[[u'http://www.akrepublicans.org/huggins/index.php', u'http://senate.legis.state.ak.us/senator.php?id=hug', u'http://www.aksenateminority.com/archives/286', u'http://www.akrepublicans.org/huggins/prs-huggins.php', u'http://progressivealaska.blogspot.com/2008/01/state-sen-charlie-huggins-exxons-bff.html', u'http://openstates.org/ak/legislators/AKL000003/charlie-huggins/', u'http://www.adn.com/2011/11/04/2156559/alaska-ear.html', u'http://www.cer.org/govninfo.htm', u'http://juneauempire.com/stories/011709/sen_378994748.shtml'], [u'http://openstates.org/ak/legislators/AKL000003/charlie-huggins/', u'http://progressivealaska.blogspot.com/2008/01/state-sen-charlie-huggins-exxons-bff.html', u'http://alaskareport.com/news/z49999_corrupt_bastards.htm', u'https://aws.state.ak.us/ApocReports/Registration/GroupRegistration/View.aspx?ID=458', u'http://www.mcclatchydc.com/2012/05/30/150567/oil-industry-opened-the-checkbooks.html', u'http://eagleforumalaska.blogspot.com/', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/September-Issue-5-2012/Familiar-faces-will-return-but-Senate-could-get-makeover/', u'http://joemiller.us/2012/08/alaskas-primary-election-one-of-the-most-important-in-the-history-of-our-state-page-3/', u'http://housemajority.org/feeds.php?m=29'], [u'http://www.frontiersman.com/news/candidates-question-each-other-at-forum/article_9e7539e8-e29f-11e1-96b1-001a4bcf887a.html?TNNoMobile'], [u'http://www.akrepublicans.org/huggins/index.php', u'http://progressivealaska.blogspot.com/2012/04/rep-carl-gatto-passes.html', u'http://www.matsuhealthfoundation.org/boardofdirectors.php', u'http://www.alaska.edu/files/shapingalaskasfuture/Final_HECR_Report.pdf', u'http://www.jber.af.mil/photos/mediagallery.asp?galleryID=1613&?id=-1&page=6&count=48', u'http://eagleforumalaska.blogspot.com/', u'http://www.jber.af.mil/photos/mediagallery.asp?galleryID=1613&page=21', u'http://www.correct.state.ak.us/blog/akdoctoday/category/Goose+Creek+Correctional+Center', u'http://www.illinoisprosperity.org/candidateguide_survey.asp?g=illinois&st=2&action=all+candidates&submit=Find']]"
AK00009,"[[u'http://www.facebook.com/ClickBishopForSenate', u'http://newsminer.com/pages/full_story/push?blog-entry-Pete+Kelly-+Click+Bishop+join+Fairbanks+senate+races%20&id=18638359&instance=blogs_editors_desk', u'http://www.adn.com/2012/03/15/2372584/alaska-labor-commissioner-announces.html', u'http://www.ktuu.com/news/akpolitics/click-bishop-files-intent-to-run-for-fairbanks-senate-seat-051712,0,6728937.story', u'http://www.youtube.com/watch?v=IvfDyNYh8WU', u'http://www.adn.com/2012/07/31/2565076/big-money-raised-in-gop-primary.html', u'http://www.youtube.com/watch?v=9mGmoJglg4o', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/July-Issue-5-2012/New-Senate-district-draws-packed-field/'], [u'http://newsminer.com/pages/full_story/push?blog-entry-Pete+Kelly-+Click+Bishop+join+Fairbanks+senate+races%20&id=18638359&instance=blogs_editors_desk', u'http://www.facebook.com/ClickBishopForSenate', u'http://alaskashare.org/', u'http://www.alaskacommunityshare.org/partners/index.html', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/August-Issue-4-2012/Risks-vs-rewards-in-campaign-against-coalition-over-taxes/', u'http://www.alaskadispatch.com/article/follow-money-hottest-races-alaska-primary-election', u'http://www.alaskadispatch.com/article/alaska-senate-races-under-way-campaign-war-chests-fill'], [u'http://www.facebook.com/ClickBishopForSenate', u'http://newsminer.com/bookmark/19934774/article-Social+media+plays+part+in+Senate+race', u'http://www.facebook.com/ClickBishopForSenate/info', u'http://newsminer.com/pages/full_story/push?article-High+stakes+in+Senate+District+C+race%20&id=19861064&instance=home_news_window_left_top_1', u'http://www.youtube.com/channel/UCcMzzFrNuo_PLASDUKnoXwg', u'http://news.deltanewsweb.com/news/2012/06/27/click-bishop-for-state-senate-hamburger-feed/', u'http://newsminer.com/pages/full_story/push?blog-entry-Facebook+lends+insight+to+Republican+race+for+Senate+Seat+C%20&id=19922571', u'http://www.iuoe302.org/Loadline/LoadLine-2012-1Q-GO-WEBSIZE.pdf', u'http://www.hss.state.ak.us/pdf/SU07-finalcx-for-web3.pdf'], [u'http://www.newsminer.com/view/full_story/19896593/article-Bishop-outraises-Seekins-in-state-Senate-race--has-money-edge-over-him-', u'http://www.adn.com/2012/03/17/2378655/alaska-ear.html', u'http://www.governmentattic.org/2docs/Palin-workforce.pdf', u'http://www.deltachamber.org/images/August_Chamber_News.pdf', u'http://www.insulfoam.com/index.php?option=com_content&view=article&id=101&Itemid=281', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/AJOC-February-19-2012/Bulletins-02-19-12/', u'http://www.insulfoam.com/index.php?option=com_content&view=article&id=125&Itemid=118', u'http://www.pwssc.org/about/staff/staff.shtml', u'http://alaskaumc.org/']]"
AK00004,"[[u'http://www.alaskadispatch.com/article/don-youngs-unusual-endorsement-hawaii-democrat-mazie-hirono', u'http://blogs.wsj.com/washwire/2012/07/25/gops-don-young-backs-democrats-hirono-in-unusual-ad/', u'http://www.adn.com/2012/07/25/2555408/opposites-attract-alaskas-young.html', u'http://www.huffingtonpost.com/2010/06/03/don-young-gulf-oil-spill-environmental-disaster_n_599392.html', u'http://www.contactingthecongress.org/cgi-bin/newmemberbio.cgi?lang=&member=AK00&site=ctc2011', u'http://www.huffingtonpost.com/2012/04/22/don-young-spent-campaign-cash-fbi-source_n_1443390.html', u'https://twitter.com/repdonyoung', u'http://www.youtube.com/watch?v=vZhaRMltva8', u'http://www.politico.com/news/stories/0712/78318.html', u'http://www.facebook.com/RepDonYoung'], [u'http://www.huffingtonpost.com/2012/04/22/don-young-spent-campaign-cash-fbi-source_n_1443390.html', u'http://www.adn.com/2012/07/25/2555408/opposites-attract-alaskas-young.html', u'http://www.opensecrets.org/politicians/summary.php?cid=n00007999', u'http://www.nytimes.com/2012/04/21/us/politics/rep-don-young-of-alaska-misused-campaign-funds-ex-aide-said.html', u'http://www.alaskadispatch.com/article/don-youngs-unusual-endorsement-hawaii-democrat-mazie-hirono', u'http://maplight.org/us-congress/legislator/525-don-young', u'http://www.alaskadispatch.com/article/good-luck-challengers-don-young-electoral-superhero-back', u'http://topics.nytimes.com/top/reference/timestopics/people/y/don_young/index.html', u'http://blogs.wsj.com/washwire/2012/07/25/gops-don-young-backs-democrats-hirono-in-unusual-ad/', u'http://www.mcclatchydc.com/2012/04/21/146263/ex-aide-alaska-congressman-don.html'], [u'http://www.alaskadispatch.com/article/congressman-young-be-honored-alaska-railroad-rescue', u'http://www.facebook.com/RepDonYoung', u'http://www.alaskapublic.org/2012/08/03/moore-hopes-to-take-on-don-young/', u'http://www.huffingtonpost.com/2012/07/24/mazie-hirono-endorsed-don-young_n_1699699.html', u'http://www.alaskapublic.org/2012/08/24/five-democrats-vie-for-chance-to-run-against-don-young/', u'http://www.globalpost.com/dispatch/news/regions/americas/united-states/120728/don-young-endorses-mazie-hirono-democrat-hawaii', u'http://content.usatoday.com/topics/topic/People/Politicians,+Government+Officials,+Strategists/US+Representatives/Don+Young', u'http://tpmmuckraker.talkingpointsmemo.com/don_young/', u'http://downwithtyranny.blogspot.com/2006/10/diane-benson-takes-on-don-young-for.html', u'http://tpmmuckraker.talkingpointsmemo.com/2011/11/watch_a_historian_mock_gop_rep_don_young_for_going.php'], [u'http://www.adn.com/2009/08/02/885403/lu-young-wife-of-rep-don-young.html', u'http://www.freerepublic.com/focus/f-news/2910338/posts', u'http://www.kmxt.org/index.php?option=com_content&task=view&id=3308&Itemid=2', u'http://www.adn.com/2012/04/11/2418717/cissna-plans-to-run-for-congress.html', u'http://animalrights.about.com/b/2011/04/06/u-s-rep-don-young-refuses-humane-society-award.htm', u'http://www.nraila.org/news-issues/articles/2012/rep-don-young-gets-answers-from-batfe-on-dealer-inspections.aspx']]"
AK00016,"[[u'http://www.housemajority.org/roses/index.php', u'http://www.anchorageteaparty.org/uploads/2/8/8/7/2887647/bob_roses.pdf', u'http://www.youtube.com/watch?v=E-ucTa6UEL0', u'http://www.facebook.com/bobroses2012/info', u'http://www.alaskadispatch.com/article/citizens-united-will-limitless-fundraising-mold-next-alaska-legislature', u'http://www.alaskareport.com/news58/x61279_elections_creed.htm', u'http://alaska-native-news.com/political_news/6663-senate-candidate-bob-roses-suspends-campaign-temporarily-afterr-wife-s-death.html', u'http://northernright.com/events/2012/6/25/fundraiser-for-bob-roses', u'http://www.adn.com/2012/06/09/2498574/oil-companies-aim-to-control-legislature.html'], [u'http://alaska-native-news.com/political_news/6663-senate-candidate-bob-roses-suspends-campaign-temporarily-afterr-wife-s-death.html', u'http://www.adn.com/2012/09/12/2622501/death-of-wife-prompts-roses-to.html', u'http://www.alaskareport.com/news58/x61279_elections_creed.htm', u'http://www.alaskadispatch.com/article/citizens-united-will-limitless-fundraising-mold-next-alaska-legislature', u'http://www.anchorageteaparty.org/uploads/2/8/8/7/2887647/bob_roses.pdf', u'http://www.alaskadispatch.com/article/alaska-senate-races-under-way-campaign-war-chests-fill', u'http://www.youralaskalink.com/politics', u'http://www.alaskadispatch.com/article/backbone-alaska-elections-revive-old-campaign-against-oil-industry-influence', u'https://aws.state.ak.us/ApocReports/CampaignDisclosure/CDIncome.aspx?ctl00_M_gridChangePage=10_20'], [u'http://northernright.com/events/2012/6/25/fundraiser-for-bob-roses', u'http://northernright.com/topics/Anchorage,%20Alaska', u'http://northernright.com/topics/Senate', u'http://www.unionfacts.com/irs/IBEW_Local_1547'], [u'http://aasb.org/content/contacts', u'http://www.muni.org/Departments/Mayor/Boards/PSAC/Documents/02082012minutes.pdf', u'http://www.adn.com/2012/08/05/2574044/senate-elections-could-be-among.html', u'http://www.voa.org/Local_Office_Directory', u'http://www.anchoragepress.com/opinion/mike-dingman-alaska-shows-its-red/article_63b66828-f89c-11e1-a497-0019bb2963f4.html', u'http://georgesonbg.org/', u'http://www.ktoo.org/', u'http://www.alaskamastergardeners.org/pdf/2012/AMGASept12.pdf', u'http://www.uso.org/uso-entertainment-history.aspx', u'http://www.uaf.edu/files/ces/about/state-advisory-council/SACminutes3-21-11.docx']]"
AK00006,"[[u'http://www.aksenate.org/index.php?senator=thomas', u'http://senate.legis.state.ak.us/senator.php?id=ths', u'http://www.aksenate.org/', u'http://www.newsminer.com/view/full_story/10041556/article-Alaska-Senate-Seat-D---Joe-Thomas', u'http://openstates.org/ak/legislators/AKL000017/joe-thomas/', u'http://www.facebook.com/Alaskansforjoethomas', u'http://www.whitepages.com/name/Joe-Thomas/Alaska', u'http://www.facebook.com/Alaskansforjoethomas/info?ref=stream', u'http://akfb.fb.org/Election/Sen%20%20Joe%20Thomas.pdf'], [u'http://www.facebook.com/Alaskansforjoethomas', u'http://openstates.org/ak/legislators/AKL000017/joe-thomas/', u'http://www.facebook.com/Alaskansforjoethomas?filter=1', u'http://www.uaf.edu/honors/alumni/', u'http://www.facebook.com/Alaskansforjoethomas/info?ref=stream', u'http://www.youtube.com/watch?v=v-wEDWHFhCM', u'http://xroads.virginia.edu/~cap/bartlett/49state.html', u'http://www.newsminer.com/view/full_story/20295176/article-Alaska-Democrats--new-site-targets-Parnell--oil-taxes-', u'http://www.wielechowski.org/2012/09/07/alaskans-prepare-for-advertising-blitz-by-meaningful-oil-tax-reform-supporters/', u'http://newsminer.com/pages/full_story/push?blog-entry-Senate%2BEnergy%2BWorking%2BGroup%2Bto%2Bhost%2Bhearing%2Bin%2BFairbanks%20&id=20063867'], [u'http://www.facebook.com/Alaskansforjoethomas', u'http://www.facebook.com/Alaskansforjoethomas/info?ref=stream', u'http://akfb.fb.org/Election/Sen%20%20Joe%20Thomas.pdf', u""http://www.lifelounge.com.au/the-lounge/interview/interview-with-the-inbetweeners'-simon-bird-and-joe-thomas.aspx"", u'http://www.newsminer.com/view/full_story/10046256/article-Higgins%E2%80%99-lawsuit', u'http://www.aksenateminority.com/archives/date/2012/02', u'https://sites.google.com/site/pakalaproductions/pakalathanks', u'http://www.aksenateminority.com/archives/848'], [u'http://interiordemocrats.org/candidates-2/', u'http://www.johncoghill.com/', u'http://www.peekyou.com/joe_thomas', u'http://www.aksenate.org/index.php?senator=menard', u'http://alaskarenewableenergy.org/2012/07/alaska-senators-to-tackle-issue-of-high-fuel-prices/', u'http://college.lclark.edu/departments/history/honors/', u'http://www.peacehealth.org/']]"
AK00017,"[[u'http://senate.legis.state.ak.us/senator.php?id=wie', u'http://www.aksenate.org/index.php?senator=wielechowski', u'http://www.youtube.com/watch?v=rJL6qeljXiU', u'https://twitter.com/wielechowski', u'http://www.facebook.com/pages/Reelect-Senator-Bill-Wielechowski/137308692967180', u'http://www.facebook.com/bill.wielechowski', u'http://openstates.org/ak/legislators/AKL000019/bill-wielechowski/', u'http://www.youralaskalink.com/politics/API-11S12--Bill-Wielechowski-169542426.html'], [u'http://www.facebook.com/pages/Reelect-Senator-Bill-Wielechowski/137308692967180', u'http://www.adn.com/2010/12/29/1623933/alaska-lawmaker-thinks-election.html', u'http://openstates.org/ak/legislators/AKL000019/bill-wielechowski/', u'http://www.aksenate.org/index.php?senator=wielechowski', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/August-Issue-4-2012/Risks-vs-rewards-in-campaign-against-coalition-over-taxes/', u'http://articles.cnn.com/2008-09-18/politics/palin.investigation_1_monegan-todd-palin-mccain-palin?_s=PM:POLITICS'], [u'http://ayea.org/legislators-of-the-year-stevens-french-wielechowski/', u'http://www.youtube.com/watch?v=8SytzFHGxRc', u'http://www.youtube.com/watch?v=Z4mikutfl1s', u'https://secure.actblue.com/page/volunteerkickoff', u'http://www.themudflats.net/?p=13602', u'http://www.alaskadispatch.com/article/oil-vega-perfect-storm-gathers-energy-sector'], [u'http://www.facebook.com/pages/Reelect-Senator-Bill-Wielechowski/137308692967180', u'http://anchorageparkfoundation.org/current-projects/', u'http://www.alaskapublic.org/2012/08/24/mountain-view-park-re-designed-by-local-kids/', u'http://www.lesgara.org/issues.htm', u'http://sewardcitynews.com/2012/06/youth-environment-fundraiser/', u'http://www.themudflats.net/?p=33305', u'http://alaskarenewableenergy.org/take-action/current-hot-issues/', u'http://www.psea.net/news.html?np=588', u'http://threadalaska.org/index.cfm/news/thread-News/144?&print=1']]"
AK00005,"[[u'http://senate.legis.state.ak.us/senator.php?id=cgl', u'http://www.akrepublicans.org/coghill/index.php', u'http://johncoghill.blogspot.com/', u'http://www.housemajority.org/coghill/index.php', u'http://www.linkedin.com/pub/john-coghill/24/236/ab5', u'http://www.aksenateminority.com/archives/180', u'http://openstates.org/ak/legislators/AKL000004/john-coghill/'], [u'http://www.akrepublicans.org/pastlegs/coghill21.htm', u'http://openstates.org/ak/legislators/AKL000004/john-coghill/', u'http://www.facebook.com/JohnCoghillJr?filter=3', u'http://www.nfib.com/alaska/news-information', u'http://www.facebook.com/JohnCoghillJr?filter=2', u'http://www.alaskajournal.com/Alaska-Journal-of-Commerce/July-Issue-4-2012/Campaigns-sprouting-after-redistricting-plan-approved/', u'http://www.adn.com/2012/08/05/2574044/senate-elections-could-be-among.html', u'http://www.unitedwaytv.com/About.html'], [u'http://www.facebook.com/JohnCoghillJr', u'http://www.petekellyforsenate.com/issues.html', u'http://www.facebook.com/JohnCoghillJr/info', u'https://secure.piryx.com/donate/LFl8Ky0M/johncoghill/', u'http://www.facebook.com/JohnCoghillJr?filter=1', u'http://charissemillett.com/?page_id=507', u'http://www.facebook.com/JohnCoghillJr?filter=2'], [u'http://johncoghill.blogspot.com/2010_03_01_archive.html', u'http://www.sremsc.org/Pages/Symposium_Alaska_EMS_&_EMT_Award_Winners_Prior_Years.html', u'http://johncoghill.blogspot.com/2010_02_01_archive.html', u'http://www.unitedwaytv.com/About.html', u'http://www.aksenateminority.com/wp-content/uploads/FebruaryNewsletter.pdf', u'http://kuac.org/kuac-tv/video-store/video-store-page-2/a-constitution-for-alaska/', u'http://www.akrepublicans.org/coghill/24/pdfs/cina_manual.pdf', u'http://www.linkedin.com/pub/brenda-hannah/27/6b1/527', u'http://www.seashare.org/donatenow.htm']]"
AK00025,"[[u'http://senate.legis.state.ak.us/senator.php?id=mcg', u'http://www.akrepublicans.org/mcguire/index.php', u'http://www.aksenate.org/index.php?senator=mcguire', u'http://community.adn.com/adn/node/159799', u'http://www.aksenate.org/', u'http://www.alaskacommons.com/2012/08/21/going-negative-poorly-andrew-halcro-takes-on-sen-lesil-mcguire/', u'http://openstates.org/ak/legislators/AKL000013/lesil-mcguire/', u'https://twitter.com/lesilmcguire', u'http://www.facebook.com/LesilMcGuireForAlaskaStateSenate'], [u'http://www.alaskapublic.org/2012/08/23/senator-mcguire-campaigns-to-keep-seat/', u'http://www.alaskadispatch.com/article/winners-and-losers-alaskas-primary-election', u'http://www.alaskacommons.com/2012/08/21/going-negative-poorly-andrew-halcro-takes-on-sen-lesil-mcguire/', u'http://www.alaskadispatch.com/article/alaska-candidates-hit-streets-final-push-primary-elections', u'http://www.ktuu.com/news/ktuu-alaska-sen-mcguire-reports-campaign-signs-stolen-20120814,0,4925520.story', u'http://www.followthemoney.org/database/StateGlance/candidate.phtml?c=89763', u'http://www.ktva.com/home/outbound-xml-feeds/1Lesil-McGuire-Prepares-to-Face-Off-Against-Determined-New-Comer-in-August-Election-164535086.html?m=y', u'http://openstates.org/ak/legislators/AKL000013/lesil-mcguire/'], [u'http://www.facebook.com/LesilMcGuireForAlaskaStateSenate', u'http://www.alaskadispatch.com/article/election-fund-steers-cash-alaska-senate-candidates-pledging-oil-tax-cut', u'http://www.adn.com/2012/07/28/v-printer/2562448/alaska-ear.html', u'http://alaskareport.com/ap/ap31126_mcguire_investigation.php', u'http://alaskareport.com/news39/x71287_mcguire_bribery.htm', u'http://www.alaskareport.com/ap/ap31110_politics.php'], [u'http://www.alaskacommons.com/2012/08/21/going-negative-poorly-andrew-halcro-takes-on-sen-lesil-mcguire/', u'http://www.facebook.com/LesilMcGuireForAlaskaStateSenate', u'http://www.ktuu.com/news/ktuu-alaska-sen-mcguire-reports-campaign-signs-stolen-20120814,0,4925520.story', u'http://www.akrepublicans.org/mcguire/leg-mcguire.php', u'http://itunes.apple.com/us/app/lesil-mcguire/id524203417?mt=8', u'http://www.akbizmag.com/Alaska-Business-Monthly/June-2012/Senator-Praises-CSI-Camp-for-Ongoing-Success-with-Alaskas-Students/', u'http://www.votevaught.com/', u'http://www.akrepublicans.org/mcguire/23/leg-mcguire.php']]"
