uid,webpage,search_success_vector
AK00002,tedandfran.com,"[False, True, False, False, True, True, True]"
AK00017,ielechowski.org,"[False, False, False, False, False, False, False]"
AK00010,annesudkamp.com,"[False, True, False, False, False, False, False]"
AK00007,petekellyforsenate.com,"[False, False, False, True, True, True, True]"
AK00004,alaskansfordonyoung.com,"[False, False, False, False, False, False, False]"
AK00006,alaskansforjoethomas.com,"[False, False, True, True, False, True, True]"
AK00009,clickbishop.com,"[False, True, False, False, False, False, False]"
AK00016,bobroses.com,"[False, True, False, True, True, True, True]"
AK00005,johncoghill.com,"[True, True, True, True, True, True, True]"
AK00025,lesilmcguire.com,"[False, False, False, True, False, True, True]"
AK00023,Frenchforstatesenate.com,"[False, True, True, False, False, False, False]"
AK00031,CathyGiessel.com,"[True, True, True, True, True, True, True]"
AK00034,stedmanforsenate.com,"[False, False, False, True, True, False, False]"
AK00029,annafairclough.com,"[False, True, False, True, True, True, True]"
AK00042,BobMillerforAK.com,"[False, True, False, False, False, False, False]"
AK00046,davidpruhs.com,"[True, True, True, False, False, False, False]"
AK00043,tammiewilson.com,"[False, False, False, False, False, False, False]"
AK00027,senatormeyer.com,"[False, False, False, False, False, False, False]"
AK00013,charliehuggins.com,"[True, False, False, False, False, False, False]"
AK00050,feige4house.org,"[False, True, False, False, False, False, False]"
AK00051,eskeller.com,"[False, False, False, False, False, False, False]"
AK00052,alaskansforhughes.com,"[False, False, False, False, False, False, False]"
AK00059,voteledoux.com,"[False, True, False, True, True, False, False]"
AK00058,dansaddler.com,"[False, True, False, False, False, False, False]"
AK00053,LynnGattis.com,"[False, True, True, True, True, False, False]"
AK00063,electandystatehouse.com,"[True, True, True, False, False, False, False]"
AK00069,tarrforstatehouse.com,"[False, False, False, False, False, False, False]"
AK00068,ceanstevens.com,"[False, True, False, False, False, False, False]"
AK00067,ilisley.us,"[False, False, False, False, False, False, False]"
AK00072,ananddubey.com,"[False, True, False, False, False, False, False]"
AK00075,votescannell.com,"[True, True, True, True, True, False, False]"
AK00081,votelupe.com,"[False, False, False, False, False, False, False]"
AK00074,votemia.com,"[True, True, False, False, False, False, False]"
AK00079,votevaught.com,"[True, True, True, False, False, False, False]"
AK00076,Jodieforstatehouse.com,"[True, True, True, False, False, False, False]"
AK00083,votemillett.com,"[False, True, False, True, False, False, False]"
AK00078,uckforalaska.com,"[False, False, False, False, False, False, False]"
AK00082,pattihiggins.com,"[False, False, False, False, False, False, False]"
AK00087,reinboldforalaska.com,"[True, True, True, False, False, False, False]"
AK00084,etepetersen.net,"[False, False, False, False, False, False, False]"
AK00085,lancepruitt.com,"[False, True, False, True, True, False, False]"
AK00106,dorothyshockleyforstatehouse.com,"[True, True, True, False, False, False, False]"
AK00091,lizforalaska.com,"[False, False, False, False, False, False, False]"
AK00092,votepaulseaton.com,"[False, True, True, True, True, False, False]"
CO00001,degette.com,"[False, True, True, False, False, False, False]"
CO00002,DannyStroudforCongress.com,"[False, False, False, False, False, False, False]"
AK00107,fosteralaska.com,"[False, True, False, True, False, False, False]"
CO00004,newmenu.org/swingvoter,"[True, True, True, True, True, False, False]"
CO00006,lundberg2012.com,"[False, True, False, True, True, False, False]"
CO00008,randyluallin.com,"[False, True, True, True, True, False, False]"
CO00007,polisforcongress.com,"[True, True, True, False, False, False, False]"
CO00016,dougaden.com,"[False, True, False, False, False, True, False]"
CO00011,votetipton.com,"[False, True, False, True, True, True, False]"
CO00017,corygardner.com,"[False, True, False, True, True, True, False]"
CO00018,shafferforcolorado.com,"[False, True, False, False, False, True, False]"
CO00019,joshgforliberty.com,"[False, True, False, True, True, True, False]"
CO00022,pirtleforuscongress.com,"[False, True, False, True, True, False, False]"
CO00020,LambornforCongress.com,"[False, False, False, False, False, False, False]"
CO00026,coffmanforcongress.com,"[False, True, False, True, True, False, False]"
CO00034,schroederforsbe.com,"[False, True, False, True, True, False, False]"
CO00042,ongforcuregent.com,"[False, False, False, False, False, False, False]"
CO00033,VoteBuckBailey.com,"[False, True, False, True, True, False, False]"
CO00039,voteregentludgwig.com,"[False, False, False, False, False, False, False]"
CO00041,davidsonforcuregent.com,"[False, True, True, True, True, False, False]"
CO00043,jessicagarrow.com,"[False, True, False, False, False, False, False]"
CO00044,glengallegoscuregent.com,"[False, True, False, False, False, False, False]"
CO00048,griegoforcu.com,"[False, False, False, False, False, False, False]"
CO00052,scheffel4senate.us,"[True, True, True, False, False, False, False]"
CO00053,facebook.com/ChristopherGrundemann,"[False, True, False, True, True, True, False]"
CO00054,emilytracy.com,"[False, True, False, False, False, False, False]"
CO00061,cadmanforcolorado.com,"[False, False, False, False, False, False, False]"
CO00055,randybaumgardner.com,"[False, True, False, False, False, False, False]"
CO00058,OwenHill.org,"[True, True, True, True, True, False, False]"
CO00063,johnkefalas.org,"[False, True, True, True, True, False, False]"
CO00064,syndiforsenate.com,"[True, True, True, True, True, False, False]"
CO00072,eviehudak.com,"[True, True, True, True, True, False, False]"
CO00071,senrollieheath.com,"[True, True, True, True, False, True, True]"
CO00067,mattjonesforcolorado.com,"[False, True, False, True, True, False, False]"
CO00073,langsias.com,"[False, True, False, False, False, False, False]"
CO00076,jessieforcolorado.com,"[True, True, True, True, True, False, False]"
CO00077,kensummers.org,"[False, True, False, True, True, True, True]"
CO00078,andykerr.org,"[False, True, False, True, True, True, True]"
CO00081,sampsonforstatesenate.com,"[False, False, False, False, False, False, False]"
CO00079,vickimarble.com,"[False, True, True, False, False, False, False]"
CO00080,kempforsenate.com,"[True, True, True, True, True, False, False]"
CO00082,maryhodge.com,"[False, True, False, False, False, False, False]"
CO00089,nancytodd.org,"[False, False, False, False, False, False, False]"
CO00085,senlindanewell.com,"[False, True, False, True, False, False, False]"
CO00092,senmorgancarroll.com,"[True, True, True, True, True, False, False]"
CO00094,elect-carr.com,"[False, True, False, True, True, False, False]"
CO00095,PatSteadman.com,"[False, True, True, True, True, False, False]"
CO00096,aguilarfor32.com,"[False, False, False, False, False, False, False]"
CO00102,crestinamartinez.com,"[False, True, False, False, False, False, False]"
CO00104,jeannelabuda.com,"[False, False, False, False, False, False, False]"
CO00105,johnkidd.org,"[False, True, False, True, False, False, False]"
CO00108,votetyrrell.com,"[True, False, True, False, True, False, False]"
CO00098,mikejohnston.org,"[False, True, False, True, True, False, False]"
CO00111,dankagan.com,"[False, True, False, False, False, False, False]"
CO00110,atsonforcolorado.com,"[False, False, False, False, False, False, False]"
